rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
28,"Teekay Tankers","Vancouver, Canada / Hamilton, Bermuda","Suite 2000, 550 Burrard Street, Vancouver, BC V6C 2K2, Canada","+1 604 683 3529","teekay.com","Commercial Tanker Operations & Bunkering","VP Commercial Operations / Global Bunker Lead","Kevin Mackay (President & CEO) / Stewart Andrade (CFO)","Crude Tanker (Suezmax/Aframax)",ARA_HUB,TRANSATLANTIC,"Rotterdam, Gibraltar, Stavanger",42,"Tier 1: Mega-Deficit (>€10M / year) · Mid-Sized Crude Fleet",220000,26000,0,2813944,91.15,-18402.8,11817825,12999608,-55341.5,35539029,1979.6,26999,4195.4,10872865,404983,8505327,460069,"Teekay's 42 Suezmax and Aframax tankers trading North Sea and ARA crude face €11.8M in FuelEU penalty liability for 2025. We structure bilateral Article 21 pooling contracts and 27.0 GWh of physical biomethane off-take in Rotterdam, generating €10.9M in bottom-line savings.",CONVENTIONAL_ONLY,0,42,537905.2,37653364,53790520,49471189
29,"Pacific Basin Shipping","Hong Kong / London","31/F One Island South, 2 Heung Yip Road, Wong Chuk Hang, Hong Kong","+852 2233 7000","pacificbasin.com","Commercial Bunkering & Decarbonization Desk","Director of Decarbonization / Head of Bunkering","Martin Fruergaard (CEO) / Peter Schulz (CFO)","Dry Bulk Carrier (Handysize/Supramax)",UK_CONTINENT,TRANSATLANTIC,"Rotterdam, Antwerp, Hamburg, Ravenna",60,"Tier 1: Mega-Deficit (>€10M / year) · Minor Bulks & Agri Trades in Europe",190000,35000,0,2579028,91.15,-16837.8,10813224,11894547,-50692.8,32554845,1811.2,24703,3838.6,9948622,370544,7782415,420946,"With 60 Handysize and Supramax bulkers discharging across UK and European ports, Pacific Basin incurs a €10.8M FuelEU penalty exposure. Our desk provides 24.7 GWh of negative-CI Bio-LNG equivalent and Article 21 pooling to net €9.9M in direct client compliance savings.",CONVENTIONAL_ONLY,0,60,492709,34489630,49270900,45302854
30,"Odfjell SE","Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 27 00 00","odfjell.com","Technology & Sustainability Department","VP Technology / Bunker Procurement Manager","Harald Fotland (CEO) / Terje Iversen (CFO)","Chemical Tanker",ARA_HUB,TRANSATLANTIC,"Rotterdam, Antwerp, Bergen",48,"Tier 1: Mega-Deficit (>€10M / year) · High Biofuel Blending Experience",155000,68000,0,2571833,91.14,-16706.1,10729682,11802650,-50466.6,32412831,1797,24510,3808.6,9871845,367644,7722591,417652,"Trading chemical tankers into Antwerp and Rotterdam generates a €10.7M FuelEU compliance penalty for Odfjell's 48 vessels. We execute 24.5 GWh of Dutch biomethane supply and Article 21 pooling allocations, returning €9.9M in net client value.",CONVENTIONAL_ONLY,0,48,490474.6,34333222,49047460,45062904
31,"Wan Hai Lines","Taipei, Taiwan","10th Floor, No. 136, Songjiang Rd., Taipei 104, Taiwan","+886 2 2567 7961","wanhai.com","Fuel Management & Environmental Division","Bunker Division Manager / VP Marine Operations","Po-Ting Chen (Chairman) / Tommy Hsieh (President)","Container Liner",BALTIC_NORDIC,ASIA_EUROPE,"Rotterdam, Hamburg",30,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Niche Asia-Europe Carrier",190000,18000,0,2377389,91.15,-15557.9,9990802,10989883,-46766,30031636,1673.5,22825,3546.8,9191921,342378,7190376,388948,"Wan Hai's 30 European string vessels face a €10.0M FuelEU fine in 2025 across Asia-Europe loops. We structure turnkey negative-CI Bio-LNG bunkering of 22.8 GWh and Article 21 compliance pooling to save €9.2M in client costs.",CONVENTIONAL_ONLY,0,30,454557.6,31819032,45455760,41809834
32,"BW LPG / BW Group","Singapore / Oslo","Drammensveien 106, 0273 Oslo, Norway","+47 22 12 05 55","bwlpg.com","Commercial LPG Operations & Fuel Procurement","Commercial Director / Head of Fleet Performance","Kristian Sorensen (CEO BW LPG) / Pontus Berg (EVP)","LPG Gas Carrier",ARA_HUB,ME_AFRICA_EU_LIQUID,"Flushing (Vlissingen), Antwerp, Rotterdam",42,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Dual-Fuel LPG Pioneers",160000,22000,0,2083167,91.15,-13616.5,8744313,9618745,-40962.4,26305332,1464.7,19977,3104.2,8045120,299654,6293336,340414,"Carrying LPG into Vlissingen, Antwerp, and Rotterdam with 42 gas carriers creates an €8.7M FuelEU compliance deficit. We supply 20.0 GWh of certified Bio-LNG or Article 21 pooling credits to clear LPG vessel emissions and retain €8.0M in net savings.",CONVENTIONAL_ONLY,0,42,398140.4,27869828,39814040,36614141
33,"Diana Shipping","Athens, Greece","Pendelis 16, 175 64 Palaio Faliro, Athens, Greece","+30 210 947 0100","dianashippinginc.com","Technical & Commercial Operations","Chief Operating Officer / Bunker Manager","Semiramis Paliou (CEO) / Anastasios Margaronis (President)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,TRANSATLANTIC,"Rotterdam, Gibraltar, Piraeus",35,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Time-Charter Operator (FuelEU cost passed to charterer)",155000,18000,0,1978778,91.15,-12941.6,8310802,9141882,-38917.1,24991635,1392.1,18987,2950.4,7646265,284802,5981308,323541,"With 35 bulk carriers trading into European discharge ports, Diana Shipping faces an €8.3M FuelEU fine in 2025. Our desk arranges 19.0 GWh of low-carbon biomethane certificates and pooling contracts to eliminate your deficit, unlocking €7.6M in net savings.",CONVENTIONAL_ONLY,0,35,378264.6,26478522,37826460,34789324
34,"d'Amico International Shipping","Luxembourg / Rome","Corso d'Italia 35/B, 00198 Rome, Italy","+39 06 845 611","damicointernationalshipping.com","Fleet Energy Management & Bunkers","Fleet Energy Manager / Commercial Director","Paolo d'Amico (Chairman & CEO) / Carlos Balestra di Mottola (CFO)","Product Tanker",CENTRAL_MED_ADRIATIC,INTRA_EU_FEEDER,"Rotterdam, Augusta, Gibraltar, Genoa",34,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Eco-MR Tanker Fleet",150000,18000,0,1921833,91.15,-12567.9,8070802,8877882,-37795.9,24271635,1351.9,18438,2865.2,7425456,276577,5808584,314197,"Operating 34 product tankers across Mediterranean coastal trades incurs an €8.1M FuelEU penalty liability in 2025. We structure 18.5 GWh of Mediterranean Bio-LNG and Article 21 compliance pooling to preserve €7.4M in client operating income.",CONVENTIONAL_ONLY,0,34,367365.6,25715592,36736560,33786394
35,"Mitsui O.S.K. Lines (MOL)","Tokyo, Japan","1-1-1 Toranomon, Minato-ku, Tokyo 105-8688, Japan","+81 3 3587 7015","mol.co.jp","Bunker Business Division & Decarbonization Unit","General Manager Bunker Business / Decarbonization Lead","Takeshi Hashimoto (President & CEO) / Tatsuro Watanabe (GM Energy)","Vehicle Carrier & Bulk",ARA_HUB,ASIA_EUROPE,"Rotterdam, Zeebrugge, Bremerhaven",75,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Blue Series LNG Car Carriers / Bio-LNG Target",360000,40000,25000,4915417,90,-11709.8,7616257,8377883,-76234.7,49584334,1259.6,17180,2669.5,7014973,257693,5508492,292745,"MOL's 75 car carriers and bulkers calling ARA ports face a €7.6M FuelEU fine for conventional bunker consumption in 2025. We execute bilateral pooling agreements and 17.2 GWh of Bio-LNG supply to resolve the liability and net €7.0M in savings.",DUAL_FUEL_LNG,5,70,922621,64583470,92262100,72199727
36,"DHT Holdings","Hamilton, Bermuda / Oslo","Haakon VIIs gate 1, 0161 Oslo, Norway","+47 23 11 50 80","dhtankers.com","Commercial Operations & Fuel Procurement","Commercial Director / Bunker Operations Lead","Svein Moxnes Harfjeld (President & CEO)","Crude Tanker (VLCC)",BALTIC_NORDIC,ME_AFRICA_EU_LIQUID,"Rotterdam, Skaw",24,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Pure VLCC Player Calling at Rotterdam",140000,16000,0,1784222,91.15,-11669.8,7494046,8243451,-35091.3,22534787,1255.3,17121,2660.4,6894817,256813,5393485,291745,"DHT's 24 VLCCs discharging crude into Northwest Europe generate €7.5M in statutory FuelEU fines. We arrange 17.1 GWh of certified negative-CI biomethane off-take or Article 21 pooling to neutralize your compliance deficit and save €6.9M.",CONVENTIONAL_ONLY,0,24,341079.2,23875544,34107920,31369590
37,"Genco Shipping & Trading","New York, USA","299 Park Avenue, 12th Floor, New York, NY 10171, USA","+1 646 443 8550","gencoshipping.com","Commercial Operations & Fuel Management","VP Commercial Operations / Bunkering Director","John C. Wobensmith (CEO) / Peter Allen (CFO)","Dry Bulk Carrier",ARA_HUB,TRANSATLANTIC,"Rotterdam, Gibraltar",32,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Transatlantic Grain & Ore",140000,16000,0,1784222,91.15,-11669.8,7494046,8243451,-35091.3,22534787,1255.3,17121,2660.4,6894817,256813,5393485,291745,"Calling European grain and ore terminals with 32 bulkers triggers a €7.5M FuelEU fine for Genco in 2025. Our desk structures 17.1 GWh of Bio-LNG supply and Article 21 pooling allocations to net €6.9M in direct client compliance savings.",CONVENTIONAL_ONLY,0,32,341079.2,23875544,34107920,31369590
38,"Kawasaki Kisen Kaisha ('K' Line)","Tokyo, Japan","Iino Building, 1-1, Uchisaiwaicho 2-chome, Chiyoda-ku, Tokyo 100-8540, Japan","+81 3 3595 5000","kline.co.jp","Fuel Strategy & Environmental Group","General Manager Fuel Strategy / Head of Decarbonization","Yukikazu Myochin (President & CEO) / Satoshi Kanamori (MD)","Vehicle Carrier (PCTC)",UK_CONTINENT,ASIA_EUROPE,"Zeebrugge, Bremerhaven, Rotterdam",60,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Century Highway Green LNG Car Carriers",290000,32000,20000,3955111,90.01,-9517.3,6189785,6808763,-61436.2,39956215,1023.8,13963,2169.7,5701080,209445,4476662,237934,"Discharging automotive cargo into Zeebrugge and Bremerhaven with 60 PCTCs leaves 'K' Line facing €6.2M in 2025 FuelEU penalties. We provide 14.0 GWh of certified Bio-LNG and Article 21 pool access to eliminate penalties and deliver €5.7M in net savings.",DUAL_FUEL_LNG,4,56,742456.4,51971948,74245640,58161733
39,"Tsakos Energy Navigation (TEN)","Athens, Greece","367 Andrea Syngrou Avenue, 175 64 Athens, Greece","+30 210 940 7710","tenn.gr","Commercial & Bunkering Operations","Chief Operating Officer / Marine Fuel Purchasing Lead","Nikolas Tsakos (President & CEO) / George Saroglou (COO)","Crude & Product Tanker & LNG",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Rotterdam, Augusta",52,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Mixed Tanker & LNG Carrier Fleet",270000,30000,18000,3676333,90.04,-9328.7,6064652,6671118,-57588.1,37438340,1003.5,13686,2126.7,5585634,205294,4385483,233218,"TEN's 52 crude and product tankers face €6.1M in FuelEU compliance penalties across Mediterranean routes in 2025. Our desk arranges 13.7 GWh of negative-CI Bio-LNG or bilateral Article 21 pooling to protect carrier revenue and save €5.6M.",DUAL_FUEL_LNG,3,49,690522,48336540,69052200,54401192
40,"P&O Ferries (DP World)","Dover, United Kingdom","Channel House, Channel View Road, Dover CT17 9TJ, United Kingdom","+44 1304 863 000","poferries.com","Fleet Operations & Sustainability","Head of Fleet Operations / Bunkering Lead","Peter Hebblethwaite (CEO)","European Ferry",UK_CONTINENT,INTRA_EU_FEEDER,"Dover, Calais, Hull, Rotterdam-Europoort",14,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Channel Shuttles / Hybrid Pioneer Class",0,125000,0,1482639,91.1,-9411.1,6047118,6651830,-28873.7,18552910,1012.3,13807,2145.5,5563871,207106,4353124,235277,"With continuous high-intensity English Channel ferry runs across 14 vessels, P&O Ferries faces a €6.0M FuelEU penalty exposure. We deliver 13.8 GWh of tailored virtual pipeline biomethane or Article 21 pooling to avoid penalties and save €5.6M.",CONVENTIONAL_ONLY,0,14,280525,19636750,28052500,25683868
41,"Navigator Gas","London, UK","10 Bressenden Place, London SW1E 5DH, United Kingdom","+44 20 7340 4850","navigatorgas.com","Commercial Operations & Fleet Decarbonization","VP Commercial Operations / Environmental Manager","Mads Peter Zacho (CEO) / Niall Nolan (CFO)","Handysize Gas Carrier (Ethylene/LPG)",UK_CONTINENT,INTRA_EU_FEEDER,"Antwerp, Rotterdam, Teesport, Rafnes",28,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · European Petrochemical Gas Shuttles",95000,18000,0,1295444,91.15,-8456.6,5430801,5973881,-25461.9,16351634,909.7,12407,1927.9,4996567,186100,3908620,211414,"Operating 28 Handysize gas carriers carrying ethylene and LPG into Antwerp and Teesport incurs €5.4M in FuelEU fines. Our desk structures 12.4 GWh of certified Bio-LNG bunkering and pooling transfers, capturing €5.0M in net savings.",CONVENTIONAL_ONLY,0,28,247476.6,17323362,24747660,22754163
42,"Okeanis Eco Tankers","Athens, Greece / Oslo","Ethnarchou Makariou 2, 175 61 Palaio Faliro, Athens, Greece","+30 210 941 4000","okeanisecotankers.com","Commercial Operations & Energy Desk","Commercial Director / Head of Fleet Efficiency","Aristos Alafouzos (CEO) / John Lycouris (CEO Americas)","Crude Tanker (VLCC & Suezmax)",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Rotterdam, Augusta",14,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Modern Scrubber Fleet",95000,11000,0,1212417,91.15,-7929.5,5092157,5601373,-23845,15312666,853,11634,1807.7,4684984,174503,3664840,198238,"Despite modern eco-specifications, Okeanis's 14 VLCCs and Suezmaxes face €5.1M in FuelEU penalties under Well-to-Wake accounting. We arrange 11.6 GWh of negative-CI biomethane off-take or Article 21 pooling to deliver €4.7M in net savings.",CONVENTIONAL_ONLY,0,14,231767.2,16223704,23176720,21315861
43,"International Seaways","New York, USA","600 Third Avenue, New York, NY 10016, USA","+1 212 578 1600","intlseas.com","Commercial Operations & Bunker Procurement","Head of Commercial Operations / Bunker Director","Lois Zabrocky (President & CEO) / Jeffrey Pribor (CFO)","Crude & Product Tanker",WEST_MED,TRANSATLANTIC,"Rotterdam, Gibraltar, Algeciras",38,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Dual-Fuel VLCCs Chartered to Shell",195000,22000,12000,2645444,90.12,-7491,4865520,5352072,-42217.8,27421173,805.8,10990,1707.8,4480866,164852,3517142,187275,"Trading 38 crude and product tankers into Mediterranean and ARA refineries incurs €4.9M in FuelEU penalties in 2025. Our desk structures 11.0 GWh of Bio-LNG delivery and Article 21 pooling solutions to yield €4.5M in direct client savings.",DUAL_FUEL_LNG,2,36,497533.4,34827338,49753340,39692858
44,"Scandlines","Copenhagen, Denmark / Hamburg","Drehbahn 7, 20354 Hamburg, Germany","+49 381 7788 7766","scandlines.com","Green Transition & Technical Fleet Management","Director of Green Transition / Fleet Manager","Carsten Norland (CEO) / Michael Guldmann Petersen (COO)","European Ferry",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Rodby, Puttgarden, Gedser, Rostock",8,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Hybrid Electric Fleet / Remaining Fuel 100% Exposed",0,95000,0,1126806,91.1,-7152.4,4595810,5055391,-21944,14100212,769.4,10493,1630.6,4228542,157401,3308374,178811,"Running frequent Baltic ferry crossings on Rodby-Puttgarden with 8 vessels creates a €4.6M FuelEU penalty liability. We supply 10.5 GWh of Danish/German green biomethane or Article 21 pooling to net €4.2M in client savings.",CONVENTIONAL_ONLY,0,8,213199,14923930,21319900,19519740
45,"Irish Continental Group (Irish Ferries)","Dublin, Ireland","Ferryport, Alexandra Road, Dublin 1, Ireland","+353 1 607 5700","icg.ie","Commercial Marine & Fuel Purchasing","Operations Director / Bunkering Manager","Eamonn Rothwell (CEO) / David Ledwidge (CFO)","European Ferry",UK_CONTINENT,BALTIC_NORDIC_ROPAX,"Dublin, Holyhead, Rosslare, Cherbourg, Dover",10,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Pure MGO Channel & Irish Sea Ferries",0,92000,0,1091222,91.1,-6926.6,4450679,4895747,-21251.1,13654942,745.1,10162,1579.1,4095009,152430,3203899,173164,"Connecting Dublin, Holyhead, and Cherbourg with 10 Ro-Pax vessels exposes Irish Ferries to €4.5M in FuelEU penalties. Our desk structures 10.2 GWh of biomethane bunkering and Article 21 pooling to preserve €4.1M in passenger ferry earnings.",CONVENTIONAL_ONLY,0,10,206466.4,14452648,20646640,18903327
46,"Color Line","Oslo, Norway","Hjortneskaia, 0250 Oslo, Norway","+47 22 94 44 00","colorline.com","Environmental Management & Bunkering","VP Sustainability / Marine Operations Manager","Trond Kleivdal (CEO)","European Ferry",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Oslo, Kiel, Kristiansand, Hirtshals",7,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Nordic Short-Sea / Color Hybrid Battery Support",0,85000,0,1008194,91.1,-6399.5,4112041,4523245,-19634.1,12615979,688.4,9389,1458.9,3783432,140832,2960124,159988,"Color Line's 7 passenger and freight ferries on Oslo-Kiel routes face a €4.1M FuelEU compliance deficit in 2025. We provide 9.4 GWh of Nordic Bio-LNG or Article 21 pooling allocations to clear ferry emissions and save €3.8M.",CONVENTIONAL_ONLY,0,7,190757,13352990,19075700,17465031
47,"NYK Line (Ro-Ro Division)","Tokyo, Japan","3-2, Marunouchi 2-chome, Chiyoda-ku, Tokyo 100-0005, Japan","+81 3 3284 5151","nyk.com","Automotive Logistics Fuel Strategy & ESG","General Manager Automotive Logistics / Bunker Lead","Takaya Soga (President) / Hitoshi Nagasawa (Chairman)","Vehicle Carrier (PCTC)",UK_CONTINENT,ASIA_EUROPE,"Zeebrugge, Bremerhaven, Rotterdam, Barcelona",80,"Tier 2: Mid-Tier Compliance Buyer (€2M – €10M / year) · Sakura Leader LNG PCTC Class / Needs Bio-LNG Blends",380000,45000,35000,5338889,89.66,-6296.4,4110550,4521605,-76380.2,49864126,677.3,9238,1435.4,3787237,138563,2977197,157410,"NYK's 80 car carriers calling Zeebrugge and Bremerhaven incur €4.1M in FuelEU penalties on European calls. We execute 9.2 GWh of Bio-LNG bunkering and Article 21 pooling agreements to protect automotive logistics margins, saving €3.8M.",DUAL_FUEL_LNG,7,73,996688,69768160,99668800,73878710
48,"Golden & Union Trading & Shipping","Limassol, Cyprus","Christodoulou Chatzipavlou 205, 3036 Limassol, Cyprus","+357 25 830 1358","goldenanduniont.com","Green Transition & Marine Fuels Desk","Technical Fleet Director","Georgios Dupont (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",18,"Tier 2: Mid-Tier Compliance Buyer / Regional Bunkering",73926,4932,0,900434,91.16,-5910,3794989,4174488,-17730,11384968,635.7,8671,1347.3,3231374,130065,1046839,177300,"With 18 vessels creating an audited €3.79M 2025 FuelEU penalty liability, Golden & Union Trading & Shipping faces immediate compliance exposure. Our desk delivers 8.7 GWh of negative-CI Bio-LNG or Article 21 pool credits across Limassol, capturing €3.23M in net client savings.",CONVENTIONAL_ONLY,0,18,172212.3,12054861,17221232,15849850
